"Spend over È25,000 - Publication template",,,,,,,,,,,,,
,,,,,,,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier Postcode - Vol,Supplier Type - Vol ,Contract Number - Vol,Project Code Vol,Expenditure Type - Vol 
Forestry Commission ,Forest Research ,13/08/2024,MISC PROJECT EXPENDITURE,Scientific,THE UNIVERSITY OF READING,20025954,83500,Research Services,,,,,
Forestry Commission ,Forest Research ,06/08/2024,COMPUTER COSTS.,Scientific,ESRI (UK) LTD,20025863,34722.04,Software configuration and support,,,,,
Forestry Commission ,Forest Research ,13/08/2024,ENERGY.,Building,EDF ENERGY 1 LIMITED,20025903,25267.91,Building Services,,,,,
Forestry Commission ,Forest Research ,06/08/2024,COMPUTER COSTS.,Scientific,Rowe IT Limited,20025845,27600,Software configuration and support,,,,,
Forestry Commission ,Forest Research ,13/08/2024,CONTRACT SURVEYS.,Scientific,Fera Science Ltd,20025935,55405.2,Research Services,,,,,
Forestry Commission ,Forest Research ,06/08/2024,ASSET SUSPENSE ACCOUNT,Building,Architon LLP,20025825,60862.46,Capital Expenditure - Building Cost,,,,,
Forestry Commission ,Forest Research ,08/08/2024,BUILDING - OTHER SUSPENSE ACCOUNT,Building,JPS Building Solutions,20025868,28518,Capital Expenditure - Building Cost,,,,,
Forestry Commission ,Forest Research ,27/08/2024,ASSET SUSPENSE ACCOUNT,Building,JPS Building Solutions,20025938,30000,Capital Expenditure - Building Cost,,,,,
Forestry Commission ,Forest Research ,13/08/2024,ASSET SUSPENSE ACCOUNT,Building,Management & Construction Services Limited,20025942,60379.63,Capital Expenditure - Building Cost,,,,,
,,,,,,,"406,255.24",,,,,,
