FN_ID,FN_TEXT
NT0002,"Suicide is defined by cause-of-death codes *U03, X60-X84, and Y87.0. Suicide rates for all ages include the small number of suicides among children ages 5-9 years. Estimates for 2001 included September 11-related deaths for which death certificates were filed as of October 24, 2002. See Sources and Definitions, Cause of death, for terrorism-related ICD-10 codes, available from: https://www.cdc.gov/nchs/hus/sources-definitions/cause-of-death.htm. Age groups are selected to minimize the presentation of unstable age-specific death rates based on small numbers of deaths and for consistency among comparison groups."
NT0003,National linked files do not exist for 1992-1994.
NT0004,"Percentages do not sum to 100 because the percentage of people with BMI less than 18.5 is not shown. Additionally, the percentage of people with obesity is embedded in the percent overweight or obese and can be further partitioned into Grades 1, 2, and 3 obesity. Age of the participant (in years) is at the time of screening. Height is measured without shoes."
NT0009,"Hypertension is defined as having measured high blood pressure or taking high blood pressure medication. High blood pressure is defined as having measured systolic pressure of at least 130 mm Hg or diastolic pressure of at least 80 mm Hg. Those with high blood pressure may also be taking prescribed medicine for high blood pressure. Those reporting taking high blood pressure medication may not have measured high blood pressure but are still classified as having hypertension. Percentages are based on the average of blood pressure measurements taken. In 2017–March 2020, 91% of participants had three systolic or diastolic blood pressure readings. Estimates exclude pregnant women. See Sources and Definitions, Hypertension, available from: https://www.cdc.gov/nchs/hus/sources-definitions/hypertension.htm. The National Health and Nutrition Examination Survey (NHANES) program suspended field operations in March 2020 due to the COVID-19 pandemic. As a result, data collection for the 2019–2020 cycle was not completed. Therefore, data collected from 2019–March 2020 were combined with data from the 2017–2018 cycle to create a 2017–March 2020 prepandemic file. This file covers 3.2 years of data collection. For more information, see: https://www.cdc.gov/nchs/products/series/series02.htm."
NT0012,"Prescription medication use is based on a question about whether respondents had taken a prescription medication (not including prescription dietary supplements) in the past 30 days. For participants younger than age 16 years, a parent or other proxy provided the information. See Sources and Definitions, Drug, available from: https://www.cdc.gov/nchs/hus/sources-definitions/drug.htm. The National Health and Nutrition Examination Survey (NHANES) program suspended field operations in March 2020 due to the COVID-19 pandemic. As a result, data collection for the 2019–2020 cycle was not completed. Therefore, data collected from 2019–March 2020 were combined with data from the 2017–2018 cycle to create a 2017–March 2020 prepandemic file. This file covers 3.2 years of data collection. For more information, see: https://www.cdc.gov/nchs/products/series/series02.htm."
NT0016,"Infant mortality rates are based on infant deaths younger than 1 year of age. Starting with 2003 data, some states reported multiple-race data. The multiple-race data for these states were bridged to the single-race categories of the 1977 Office of Management and Budget standards, for comparability with other states. See Appendix II, Race, available from https://www.cdc.gov/nchs/data/hus/hus17_appendix.pdf. National linked files do not exist for 1992-1994."
NT0017,"Rates are calculated using estimates of the civilian noninstitutionalized population of the United States. Rates for 2011 data and beyond are computed using 2010-based postcensal population estimates. Rates for 2001-2010 were computed using 2000-based postcensal population estimates. Rates for 2000 were computed using 1990-based postcensal population estimates. Rates using the civilian noninstitutionalized population may be overestimated to the extent that visits by institutionalized people are counted in the numerator (for example, hospital emergency department visits by nursing home residents), but institutionalized people are omitted from the denominator (civilian noninstitutionalized population). In 2012-2015 and 2018, data for physician offices excluded visits to community health centers; in 2006-2011, data for all places and physician offices included visits to community health centers (2%-3% of visits to physician offices in 2006-2011 were to community health centers). Before 2006, visits to community health centers were not included in the survey. See Sources and Definitions, Emergency department; Emergency department or emergency room visit; Office visit, available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
NT0018,"Medicaid coverage includes people who had any of the following at the time of interview: Medicaid, other public assistance (through 1996), state-sponsored health plan (starting in 1997), or Children's Health Insurance Program [(CHIP) starting in 1999]. It includes those who also had another type of coverage in addition to one of these. In 2019, 18.4% of people younger than 65 years reported being covered by Medicaid, 0.9% by state-sponsored health plans, and 0.9% by CHIP. Estimates may not sum to total because of rounding. The number of people with Medicaid coverage is calculated by multiplying the percentage with Medicaid coverage by the number of people younger than 65 years in the civilian noninstitutionalized U.S. population, as determined from the poststratification Census control total for each survey year. Percentages of people with Medicaid coverage are calculated with unknown values excluded from denominators. See Sources and Definitions, Health insurance coverage; Medicaid, available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm. Estimates in this table may differ slightly from other estimates based on the same data and presented elsewhere if different methodologies were used (for example, how missing data were handled)."
NT0019,"An emergency department visit is based on the diagnosis code. Due to a change in national medical data coding standards in 2015, the definition for injuries and injury subcategories changed for the 2016 reporting period and beyond. Results from 2016 and subsequent years should not be compared with previous reporting periods. Any observed changes in trends across this transition period should not be considered. For more information, see Sources and Definitions, Injury; Injury-related visit; International Classification of Diseases, Clinical Modification (ICD-CM), available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm. Rates are calculated using U.S. Census Bureau estimates of the civilian population of the United States, including institutionalized people. Rates for 2005-2010 were computed using 2000-based postcensal population estimates. Rates for 2011 and beyond are computed using 2010-based postcensal population estimates."
NT0020,"Race and Hispanic origin refer to mother's race and Hispanic origin. Estimates are based on single-race categories; multiple-race data were bridged to single-race categories as needed. For information on low birthweight live births by state, see Table I-21 in Martin JA, Hamilton BE, Osterman MJK, Driscoll AK, Drake P. Births: Final data for 2016. Natl Vital Stat Rep. 2018 Jan;67(9):1-55. PMID: 29775434. Starting with 2003 data, some states and territories reported multiple-race data. The multiple-race data for these areas were bridged to the single-race categories of the 1977 Office of Management and Budget standards, for comparability with other states. As of January 1, 2016, all states and reporting areas (other than American Samoa) had adopted the 2003 U.S. Standard Certificate of Live Birth. Bridged single-race categories are still presented in Health, United States to permit trend comparisons. See Appendix II, Race, available from: https://www.cdc.gov/nchs/data/hus/hus17_appendix.pdf."
NT0021,"Data include professionally active dentists only. Professionally active dentist in this table are those who are listed in the American Dental Association (ADA) masterfile as licensed, not retired, living in the 50 states or District of Columbia, and having a primary occupation of: private practice (full-or part-time); and dental school or faculty staff member; armed forces; other federal service (e.g., Veterans Affairs or Public Health Service); state or local government employee; hospital staff dentist; graduate student, intern, or resident; or other health or dental organization staff member. Data exclude dentists in U.S territories or U.S. armed forces overseas. Total includes dentist with unknown state of practice. Data on the number of  dentists per 100,000 resident population are based on the American Dental Association’s calculations using resident population based on census population data."
NT0022,"The estimates exclude occupations such as dentists, physicians, and chiropractors, which have a large percentage of workers who are self-employed. Challenges in using Occupational Employment and Wage Statistics data as a time series include changes in the occupational, industrial, and geographical classification systems; changes in the way data are collected; changes in the survey reference period; and changes in the estimation methodology. See Sources and Definitions, Occupational Employment and Wage Statistics (OEWS), available from: https://www.cdc.gov/nchs/hus/sources-definitions/oews.htm."
NT0038,"Census resident population is used to calculate per capita amount. The Medicare and Medicaid programs began coverage in 1965. The Children's Health Insurance Program began coverage in 1997. For more information on national health expenditure categories, sources, and methods, see ""National Health Expenditure Accounts: Methodology Paper, 2022,"" available from: https://www.cms.gov/files/document/definitions-sources-and-methods.pdf. Also see Sources and Definitions, Children's Health Insurance Program (CHIP); Medicaid; Medicare; National Health Expenditure Accounts (NHEA), available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
NT0044,"Percentages are calculated using unrounded data. For more information on national health spending categories, sources, and methods, see ""National Health Expenditure Accounts: Methodology Paper, 2017,"" available from: https://www.cms.gov/files/document/definitions-sources-and-methods.pdf. Also see Sources and Definitions, Health expenditures, national; National Health Expenditure Accounts (NHEA), available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
NT0056,"Census resident population is used to calculate per capita amount. See Sources and Definitions, Gross domestic product (GDP); National Income and Product Accounts (NIPA), available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
NT0064,"Community hospitals are nonfederal, short-term general and special hospitals whose facilities and services are available to the public. The types of facilities included in this category have changed over time. Starting with 2017 data, the American Hospital Association changed its methodology to include all general and special hospitals licensed by the appropriate state agency and accredited by one of the following: The Joint Commission, DNV GL Healthcare, Center for Improvement in Healthcare Quality, or Medicare. Data before 2017 include only hospitals registered by the American Hospital Association. Because of the change in methodology, data may not be comparable across the two time periods. However, an assessment of 2015 data using both methodologies showed comparable estimates. See Sources and Definitions, Hospital, available from: https://www.cdc.gov/nchs/hus/sources-definitions/hospital.htm."
NT0079,"In 2019, the National Health Interview Survey questionnaire was redesigned, and other changes were made to weighting and design methodology. In charts, this may be represented by a dashed vertical line. Data for 2019 and beyond have not been fully evaluated for comparability with earlier years. For more information on the 2019 National Health Interview Survey redesign and evaluation of the redesign on selected indicators, see: https://www.cdc.gov/nchs/nhis/about/2019-questionnaire-redesign.html."
NT0084,"Deaths from diseases of heart is defined by cause-of-death codes I00-I09, I11, I13, I20-I51. Rates for 2011 and beyond are computed using 2010-based postcensal estimates. Rates for 2010 are computed based on 2010 bridged-race April 1 census counts. Rates for 2001-2009 are computed using intercensal population estimates based on the 2000 and 2010 censuses. Rates for 2000 are computed based on 2000 bridged-race April 1 census counts. Rates for 1999 are computed using intercensal population estimates based on the 1990 and 2000 censuses. See Sources and Definitions, Population Census and Population Estimates, available from: https://www.cdc.gov/nchs/hus/sources-definitions/census-population.htm. Age groups are selected to minimize the presentation of unstable age-specific death rates based on small numbers of deaths and for consistency among comparison groups."
NT0087,"Fetal death is the intrauterine death of a fetus before delivery from the mother. In Health, United States, fetal mortality rates are calculated for deaths that occur at 20 weeks of gestation or more. See Sources and Definitions, Fetal death, available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm. Fetal death data are not available before 1995. Data by race and Hispanic origin are not available before 1999. Starting with 2014 data, the obstetric estimate of gestation at delivery replaces the gestational age measure based on the date of the last normal menses, which was used for data before 2014. For more information on the impact of this change, see Sources and Definitions, National Vital Statistics System (NVSS), Fetal Death Data Set, available from: https://www.cdc.gov/nchs/hus/sources-definitions/nvss.htm."
NT0088,"Malignant neoplasms is defined by cause-of-death codes C00-C97. Rates for 2011 and beyond are computed using 2010-based postcensal estimates. Rates for 2010 are computed based on 2010 bridged-race April 1 census counts. Rates for 2001-2009 are computed using intercensal population estimates based on the 2000 and 2010 censuses. Rates for 2000 are computed based on 2000 bridged-race April 1 census counts. Rates for 1999 are computed using intercensal population estimates based on the 1990 and 2000 censuses. See Sources and Definitions, Population Census and Population Estimates, at: https://www.cdc.gov/nchs/hus/sources-definitions/census-population.htm. Age groups are selected to minimize the presentation of unstable age-specific death rates based on small numbers of deaths and for consistency among comparison groups."
NT0089,"Functional limitation (or functional difficulties) is defined by the reported level of difficulty in six domains of functioning: seeing (even if wearing glasses or contact lenses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Respondents with answers to one or more of the six questions are included in one of three mutually exclusive categories. Adults who respond “a lot of difficulty” or “cannot do at all” to at least one question are classified in the “a lot of difficulty or cannot do at all” category. Of the remaining respondents, adults who respond “some difficulty” to at least one question are classified in the “some difficulty” category, and adults who respond “no difficulty” to all questions are classified in the “no difficulty” category. Adults who respond “don’t know” or “refused” to all six questions are excluded. During 2010-2022, 0%-8% of respondents were missing data and excluded. See Sources and Definitions, Functional limitation, available from: https://www.cdc.gov/nchs/hus/sources-definitions/functional-limitation.htm."
NT0108,"Obesity in youth is defined as body mass index (BMI) at or above the sex- and age-specific 95th percentile of the 2000 Centers for Disease Control and Prevention (CDC) Growth Charts. See: Ogden CL, Flegal KM. Changes in terminology for childhood overweight and obesity. National Health Statistics Reports; no 25. Hyattsville, MD: National Center for Health Statistics. 2010. Available from: https://www.cdc.gov/nchs/products/nhsr.htm. BMI equals weight in kilograms divided by height in meters squared. See Appendix II, Body mass index (BMI), available from: https://www.cdc.gov/nchs/data/hus/hus19-appendix-508.pdf. In Health, United States, the National Health and Nutrition Examination Survey (NHANES) variable named Body Mass Index is used to assign people to BMI categories. Data on both age and height are collected during a standardized physical examination conducted in mobile examination centers. Age of the participant is at the time of examination. Height is measured without shoes. Estimates exclude pregnant females. Crude percentages, not age-adjusted percentages, are shown."
NT0109,"Starting with 2017 data, the American Hospital Association (AHA) changed its methodology to include all general and special hospitals licensed by the appropriate state agency and accredited by one of the following: The Joint Commission, DNV GL Healthcare, Center for Improvement in Healthcare Quality, or Medicare. Data before 2017 include only hospitals registered by AHA. Because of the change in methodology, data may not be comparable across the two time periods. See Sources and Definitions, Hospital, available from: https://www.cdc.gov/nchs/hus/sources-definitions/hospital.htm."
NT0110,"The National Health and Nutrition Examination Survey (NHANES) program suspended field operations in March 2020 due to the COVID-19 pandemic. As a result, data collection for the 2019–2020 cycle was not completed. Therefore, data collected from 2019–March 2020 were combined with data from the 2017–2018 cycle to create a 2017–March 2020 prepandemic file. This file covers 3.2 years of data collection. For more information, see: https://www.cdc.gov/nchs/products/series/series02.htm."
NT0111,"Health, United States reports single-year estimates by race, which may differ from the 2-year average estimates reported by Monitoring the Future. For 2-year average estimates by race, see Miech RA, Johnston LD, Patrick ME, O’Malley PM, Bachman JG, Schulenberg JE. Monitoring the Future national survey results on drug use, 1975-2022: Secondary school students. Ann Arbor: Institute for Social Research, The University of Michigan; 2023. Because of methodological differences between Monitoring the Future and other surveys on substance use, rates of substance use measured by these surveys are not directly comparable. See Sources and Definitions, Alcohol consumption; Binge alcohol use; Illicit drug use; Monitoring the Future (MTF); Substance use; Tobacco use, available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
NT9997,"Estimates for certain population subgroups may be based on small numbers of respondents or events. To increase the ability to present statistically reliable estimates, where possible, data for adjacent 2-year data cycles from NHANES have been combined into analytic data files based on 4 years or more of data."
NT9998,"Rates are computed using the appropriate resident population. Rates for 2021 and beyond are computed using single-race postcensal estimates of the July 1 resident population, based on the modified blended base produced by the U.S. Census Bureau in lieu of April 1, 2020 decennial population count. Rates for 2011-2020 are computed using 2010-based postcensal estimates. Rates for 2010 are computed based on 2010 bridged-race April 1 census counts. Rates for 2001-2009 are computed using intercensal population estimates based on the 2000 and 2010 censuses. Rates for 2000 are computed based on 2000 bridged-race April 1 census counts. Rates for 1999 are computed using intercensal population estimates based on the 1990 and 2000 censuses. See Sources and Definitions, Population Census and Population Estimates, available from: https://www.cdc.gov/nchs/hus/sources-definitions/census-population.htm."
NT0113,"State data are categorized into quartiles for mapping. The quartile classification method divides data into four classes with an equal number of observations in each group (when possible), regardless of ties or outliers. The first and last quartiles may include outliers. Quartile classes may vary by year for the same indicator."
SC0001,"National Center for Health Statistics, National Vital Statistics System, Mortality File. See Sources and Definitions, National Vital Statistics System (NVSS), available from: https://www.cdc.gov/nchs/hus/sources-definitions/nvss.htm."
SC0004,"National Center for Health Statistics, National Health and Nutrition Examination Survey. See Sources and Definitions, National Health and Nutrition Examination Survey (NHANES), available from: https://www.cdc.gov/nchs/hus/sources-definitions/nhanes.htm."
SC0005,"National Center for Health Statistics, National Health Interview Survey. See Sources and Definitions, National Health Interview Survey (NHIS), available from: https://www.cdc.gov/nchs/hus/sources-definitions/nhis.htm."
SC0012,"National Center for Health Statistics, National Vital Statistics System, Linked Birth/Infant Death Data Set. See Appendix I, National Vital Statistics System (NVSS), available from: https://www.cdc.gov/nchs/data/hus/hus17_appendix.pdf."
SC0013,"National Center for Health Statistics, National Ambulatory Medical Care Survey and National Hospital Ambulatory Medical Care Survey. See Sources and Definitions, National Ambulatory Medical Care Survey (NAMCS); National Hospital Ambulatory Medical Care Survey (NHAMCS), available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
SC0015,"National Center for Health Statistics, National Vital Statistics System, Birth File. See Appendix I, National Vital Statistics System (NVSS), available from: https://www.cdc.gov/nchs/data/hus/hus17_appendix.pdf."
SC0016,"National Center for Health Statistics, National Hospital Ambulatory Medical Care Survey. See Sources and Definitions, National Hospital Ambulatory Medical Care Survey (NHAMCS), available from: https://www.cdc.gov/nchs/hus/sources-definitions/nhamcs.htm."
SC0017,"American Dental Association, Health Policy Institute. Supply of dentists in the U.S.: 2001–2024, Tables 1 and 3 (Copyright 2025 American Dental Association. Reprinted with permission. All rights reserved.). Any form of reproduction is strictly prohibited without prior written permission of the American Dental Association. See Sources and Definitions, American Dental Association (ADA), available from: https://www.cdc.gov/nchs/hus/sources-definitions/ada.htm."
SC0018,"U.S. Department of Labor, Bureau of Labor Statistics. Occupational Employment and Wage Statistics. Available from: https://www.bls.gov/oes/tables.htm. See Sources and Definitions, Occupational Employment and Wage Statistics (OEWS), available from: https://www.cdc.gov/nchs/hus/sources-definitions/oews.htm."
SC0034,"Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group, National Health Expenditure Accounts, National health expenditures. See Sources and Definitions, National Health Expenditure Accounts (NHEA), available from: https://www.cdc.gov/nchs/hus/sources-definitions/nhea.htm."
SC0042,"National Center for Health Statistics, National Vital Statistics System, Linked Birth/Infant Death Data Set. See Sources and Definitions, National Vital Statistics System (NVSS), available from: https://www.cdc.gov/nchs/hus/sources-definitions/nvss.htm."
SC0056,"American Hospital Association Annual Survey of Hospitals. Hospital Statistics, 1981, 1991-92, 2002, 2011, 2012, 2016-2023, and 2025 editions. Chicago, IL. (Reprinted from American Hospital Association Hospital Statistics with permission, copyright 1981, 1992, 2002, 2011, 2012, 2016-2023, and 2025 by Health Forum, LLC, an American Hospital Association Company.) See Sources and Definitions, American Hospital Association (AHA) Annual Survey of Hospitals, available from: https://www.cdc.gov/nchs/hus/sources-definitions/aha.htm."
SC0072,"National Center for Health Statistics, National Vital Statistics System, Fetal Death Data Set, Birth File, and Linked Birth/Infant Death Data Set (perinatal mortality rates). See Sources and Definitions, National Vital Statistics System (NVSS), Fetal Death Data Set, available from: https://www.cdc.gov/nchs/hus/sources-definitions/nvss.htm."
SC0087,"American Hospital Association (AHA) Annual Survey of Hospitals. Hospital Statistics, 1976,1981, 1991–1992, 2002, 2011, 2012, 2015-2023, and 2025 editions. Chicago, IL. (Reprinted from AHA Hospital Statistics with permission, copyright 1976, 1981, 1991–1992, 2002, 2011, 2012, 2015-2023, and 2025 by Health Forum, LLC, an American Hospital Association Company.) See Sources and Definitions, American Hospital Association (AHA) Annual Survey of Hospitals, available from: https://www.cdc.gov/nchs/hus/sources-definitions/aha.htm."
SC0088,"Monitoring the Future. Institute for Social Research, University of Michigan. Supported by National Institutes of Health, National Institute on Drug Abuse. See Sources and Definitions, Monitoring the Future (MTF), available from: https://www.cdc.gov/nchs/hus/sources-definitions/mtf.htm."
